customer_id,days_since_last_purchase,purchase_frequency,total_spend,avg_order_value,number_of_sessions,cart_abandonment,returns,discount_usage,churned
C109059,13,9,128623.0605,14291.451166666668,8.0,0.0,1.0,0.5555555555555556,0
C108111,4,7,116332.295,16618.899285714284,8.0,4.0,1.0,0.42857142857142855,0
C101633,426,2,33084.416,16542.208,7.0,1.0,0.0,0.5,1
C114613,86,2,117785.69,58892.845,10.0,5.0,1.0,0.0,0
C102656,190,7,82445.96549999999,11777.99507142857,3.0,2.0,0.0,1.0,1
C101253,74,7,178873.367,25553.33814285714,9.0,3.0,1.0,0.42857142857142855,0
C101440,45,3,58534.113,19511.371,8.0,2.0,0.0,0.6666666666666666,0
C109746,180,15,293634.17949999997,19575.611966666664,9.0,4.0,2.0,0.6,1
C104321,74,2,12212.601,6106.3005,9.0,3.0,0.0,1.0,0
C108035,-1,8,231552.74899999998,28944.093625,11.0,4.0,0.0,0.625,0
C101890,93,8,165719.512,20714.939,10.0,4.0,0.0,0.875,1
C103076,46,4,58552.029,14638.00725,8.0,1.0,2.0,0.5,0
C111036,4,4,68164.59150000001,17041.147875000002,14.0,5.0,1.0,0.75,0
C100537,161,2,53894.078,26947.039,14.0,5.0,0.0,0.5,1
C101688,121,1,4128.84,4128.84,9.0,2.0,0.0,0.0,1
C100308,211,4,72802.583,18200.645750000003,7.0,1.0,0.0,0.5,1
C104283,110,6,107863.02,17977.170000000002,15.0,3.0,0.0,0.6666666666666666,1
C100996,16,5,66821.9515,13364.3903,7.0,0.0,0.0,0.8,0
C112937,7,3,22110.917999999998,7370.306,12.0,6.0,0.0,0.3333333333333333,0
C112406,0,11,255041.866,23185.624181818184,6.0,1.0,1.0,0.6363636363636364,0
C101534,10,10,136383.5955,13638.35955,9.0,0.0,0.0,0.7,0
C108154,219,14,268518.491,19179.892214285715,8.0,3.0,3.0,0.42857142857142855,1
C112658,94,1,18671.193,18671.193,8.0,3.0,0.0,1.0,1
C104967,31,3,68608.427,22869.47566666667,10.0,4.0,1.0,0.6666666666666666,0
C105850,208,3,40559.068,13519.689333333334,9.0,2.0,1.0,1.0,1
C108579,359,6,143457.2605,23909.543416666664,8.0,5.0,1.0,0.5,1
C110848,1,11,223745.33550000002,20340.48504545455,9.0,3.0,1.0,0.7272727272727273,0
C106191,12,8,145603.6395,18200.4549375,14.0,3.0,2.0,0.75,0
C113338,5,1,36386.808000000005,36386.808000000005,4.0,0.0,0.0,1.0,0
C113813,16,3,55274.61,18424.87,7.0,2.0,1.0,0.3333333333333333,0
