order_day,forecast_revenue,lower_bound,upper_bound
2026-01-01,1506461.788901186,151815.3600702791,2861108.2177320933
2026-01-02,1564050.6228029034,209404.19397199643,2918697.0516338106
2026-01-03,1524258.4749811417,169612.04615023476,2878904.903812049
2026-01-04,1528443.2752817417,173796.84645083477,2883089.704112649
2026-01-05,1534117.5234720898,179471.0946411828,2888763.952302997
2026-01-06,1545886.170909306,191239.74207839905,2900532.599740213
2026-01-07,1539076.824883257,184430.39605235006,2893723.253714164
2026-01-08,1518572.1819122778,163925.75308137084,2873218.6107431846
2026-01-09,1576161.0158139947,221514.5869830877,2930807.444644902
2026-01-10,1536368.8679922335,181722.4391613265,2891015.2968231402
2026-01-11,1540553.668292833,185907.23946192604,2895200.0971237402
2026-01-12,1546227.916483181,191581.48765227408,2900874.3453140883
2026-01-13,1557996.5639203978,203350.1350894908,2912642.992751305
2026-01-14,1551187.2178943483,196540.78906344133,2905833.646725255
2026-01-15,1530682.574923369,176036.14609246212,2885329.003754276
2026-01-16,1588271.408825086,233624.97999417898,2942917.837655993
2026-01-17,1548479.2610033248,193832.83217241778,2903125.6898342315
2026-01-18,1552664.0613039248,198017.6324730178,2907310.4901348315
2026-01-19,1558338.3094942723,203691.88066336536,2912984.7383251796
2026-01-20,1570106.956931489,215460.52810058207,2924753.3857623963
2026-01-21,1563297.61090544,208651.18207453308,2917944.0397363473
2026-01-22,1542792.9679344604,188146.5391035534,2897439.396765367
2026-01-23,1600381.8018361777,245735.37300527073,2955028.2306670845
2026-01-24,1560589.6540144165,205943.22518350952,2915236.0828453237
2026-01-25,1564774.454315016,210128.02548410906,2919420.883145923
2026-01-26,1570448.702505364,215802.2736744571,2925095.131336271
2026-01-27,1582217.3499425808,227570.92111167382,2936863.7787734875
2026-01-28,1575408.0039165313,220761.57508562435,2930054.4327474385
2026-01-29,1554903.3609455521,200256.93211464514,2909549.7897764593
2026-01-30,1612492.194847269,257845.766016362,2967138.6236781757
2026-01-31,1572700.0470255078,218053.6181946008,2927346.475856415
2026-02-01,1604289.7235156358,249643.29468472884,2958936.152346543
2026-02-02,1609963.9717059839,255317.54287507688,2964610.400536891
2026-02-03,1621732.6191432006,267086.1903122936,2976379.047974108
2026-02-04,1614923.273117151,260276.84428624413,2969569.701948058
2026-02-05,1594418.630146172,239772.20131526492,2949065.0589770786
2026-02-06,1652007.4640478892,297361.03521698224,3006653.892878796
2026-02-07,1612215.3162261276,257568.88739522058,2966861.7450570343
2026-02-08,1616400.116526727,261753.68769582012,2971046.5453576343
2026-02-09,1622074.3647170751,267427.93588616815,2976720.7935479823
2026-02-10,1633843.0121542918,279196.58332338487,2988489.440985199
2026-02-11,1627033.6661282424,272387.2372973354,2981680.094959149
2026-02-12,1606529.0231572632,251882.5943263562,2961175.45198817
2026-02-13,1664117.8570589805,309471.4282280735,3018764.2858898873
2026-02-14,1624325.7092372188,269679.28040631185,2978972.1380681256
2026-02-15,1628510.5095378188,273864.08070691186,2983156.9383687256
2026-02-16,1634184.7577281669,279538.3288972599,2988831.1865590736
2026-02-17,1645953.4051653836,291306.9763344766,3000599.8339962903
2026-02-18,1639144.0591393341,284497.63030842715,2993790.4879702413
2026-02-19,1618639.416168355,263992.98733744794,2973285.844999262
2026-02-20,1676228.2500700718,321581.8212391648,3030874.6789009785
2026-02-21,1636436.1022483106,281789.6734174036,2991082.531079218
2026-02-22,1640620.9025489101,285974.47371800314,2995267.331379817
2026-02-23,1646295.1507392582,291648.7219083512,3000941.579570165
2026-02-24,1658063.7981764749,303417.3693455679,3012710.2270073816
2026-02-25,1651254.4521504254,296608.0233195184,3005900.8809813326
2026-02-26,1630749.8091794462,276103.3803485392,2985396.2380103534
2026-02-27,1688338.6430811635,333692.21425025654,3042985.0719120707
2026-02-28,1648546.4952594019,293900.0664284949,3003192.924090309
2026-03-01,1660170.668735871,305524.2399049641,3014817.097566778
2026-03-02,1665844.9169262191,311198.48809531215,3020491.345757126
2026-03-03,1677613.5643634358,322967.13553252886,3032259.9931943426
2026-03-04,1670804.2183373868,316157.78950647986,3025450.6471682936
2026-03-05,1650299.5753664072,295653.1465355002,3004946.0041973144
2026-03-06,1707888.4092681245,353241.9804372175,3062534.8380990317
2026-03-07,1668096.2614463633,313449.8326154563,3022742.69027727
2026-03-08,1672281.0617469628,317634.63291605585,3026927.49057787
2026-03-09,1677955.3099373109,323308.8811064039,3032601.738768218
2026-03-10,1689723.9573745276,335077.5285436206,3044370.386205435
2026-03-11,1682914.6113484781,328268.18251757114,3037561.040179385
2026-03-12,1662409.968377499,307763.5395465919,3017056.3972084057
2026-03-13,1719998.8022792162,365352.37344830926,3074645.231110123
2026-03-14,1680206.6544574546,325560.2256265476,3034853.0832883613
2026-03-15,1684391.454758054,329745.02592714713,3039037.8835889613
2026-03-16,1690065.7029484021,335419.27411749517,3044712.1317793094
2026-03-17,1701834.3503856189,347187.9215547119,3056480.779216526
2026-03-18,1695025.0043595694,340378.5755286624,3049671.433190476
2026-03-19,1674520.3613885902,319873.9325576832,3029166.790219497
2026-03-20,1732109.1952903075,377462.76645940053,3086755.6241212143
2026-03-21,1692317.0474685458,337670.61863763887,3046963.4762994526
2026-03-22,1696501.8477691459,341855.4189382389,3051148.2766000526
2026-03-23,1702176.095959494,347529.6671285869,3056822.5247904006
2026-03-24,1713944.7433967101,359298.31456580316,3068591.1722276174
2026-03-25,1707135.3973706611,352488.96853975416,3061781.8262015684
2026-03-26,1686630.754399682,331984.32556877495,3041277.183230589
2026-03-27,1744219.5883013988,389573.1594704918,3098866.0171323055
2026-03-28,1704427.4404796376,349781.0116487306,3059073.869310545
2026-03-29,1708612.2407802371,353965.81194933015,3063258.669611144
2026-03-30,1714286.4889705852,359640.0601396782,3068932.917801492
2026-03-31,1726055.1364078019,371408.7075768949,3080701.5652387086
