date,channel,campaign,spend,impressions,clicks,conversions
2023-01-01,Google Ads,Search_Generic,5711.53,7046,186,9
2023-01-01,Google Ads,Shopping_Ads,10945.95,11614,316,11
2023-01-01,Google Ads,Display_Retarget,550.23,3181,18,1
2023-01-01,Meta Ads,IG_Retarget,769.09,1193,23,0
2023-01-01,YouTube Ads,YT_Skippable,905.73,5707,28,1
2023-01-01,YouTube Ads,YT_Bumper,6296.49,5300,165,5
2023-01-01,Email,Weekly_Newsletter,995.67,3357,115,4
2023-01-01,Email,Cart_Recovery,102.63,1486,25,0
2023-01-01,Email,Win_Back,542.12,1482,28,1
2023-01-01,Organic Search,SEO_Blog,428.35,1098,16,0
2023-01-01,Organic Search,SEO_Category,456.09,4035,121,2
2023-01-01,Direct,Direct_Traffic,269.07,3566,64,2
2023-01-02,Google Ads,Search_Generic,931.06,6445,58,2
2023-01-02,Google Ads,Display_Retarget,1043.25,3457,149,1
2023-01-02,Meta Ads,FB_Prospecting,2648.49,5064,63,3
2023-01-02,Meta Ads,IG_Retarget,2052.92,2952,70,2
2023-01-02,Meta Ads,FB_Lookalike,11596.18,13844,383,14
2023-01-02,Email,Weekly_Newsletter,1312.88,5981,35,0
2023-01-02,Email,Cart_Recovery,3569.79,4846,100,1
2023-01-02,Email,Win_Back,2378.83,4038,99,2
2023-01-02,Affiliate,Affiliate_Network_B,6717.58,15788,196,6
2023-01-02,Referral,Referral_Program,472.11,1897,54,1
2023-01-02,Direct,Direct_Traffic,162.32,1516,38,2
2023-01-03,Google Ads,Search_Brand,524.07,6428,53,0
2023-01-03,Meta Ads,FB_Prospecting,6193.12,6576,187,3
2023-01-03,Meta Ads,IG_Retarget,1044.39,2098,58,4
2023-01-03,Meta Ads,FB_Lookalike,2450.36,13580,254,18
2023-01-03,YouTube Ads,YT_Skippable,1841.0,1720,55,2
2023-01-03,Email,Weekly_Newsletter,5664.45,6175,212,11
2023-01-03,Email,Win_Back,1712.69,3612,81,4
2023-01-03,Organic Search,SEO_Blog,86.65,5719,104,1
2023-01-03,Organic Search,SEO_Category,,2381,106,7
2023-01-03,Affiliate,Affiliate_Network_A,11154.26,7574,294,22
2023-01-03,Affiliate,Affiliate_Network_B,8438.53,12296,412,5
2023-01-03,Referral,Referral_Program,225.69,1236,36,2
2023-01-03,Direct,Direct_Traffic,345.0,9584,373,26
2023-01-04,Google Ads,Search_Generic,4475.74,5198,123,3
2023-01-04,Google Ads,Shopping_Ads,983.95,2205,57,2
2023-01-04,Google Ads,Display_Retarget,7122.31,11879,235,4
2023-01-04,Meta Ads,FB_Prospecting,6686.71,10607,474,17
2023-01-04,Meta Ads,IG_Retarget,513.0,2449,43,1
2023-01-04,Meta Ads,FB_Lookalike,2365.16,5300,129,1
2023-01-04,YouTube Ads,YT_Skippable,1058.99,1702,67,1
2023-01-04,YouTube Ads,YT_Bumper,38.42,93,3,0
2023-01-04,Email,Cart_Recovery,4581.8,7327,106,2
2023-01-04,Email,Win_Back,5232.11,6037,198,8
2023-01-04,Organic Search,SEO_Category,176.0,17579,561,19
2023-01-04,Affiliate,Affiliate_Network_B,1977.13,5025,120,7
2023-01-04,Direct,Direct_Traffic,386.39,6460,169,7
2023-01-05,Google Ads,Search_Brand,1458.71,2434,49,1
2023-01-05,Google Ads,Shopping_Ads,564.93,2665,43,3
2023-01-05,Google Ads,Display_Retarget,6694.11,5086,154,5
2023-01-05,Meta Ads,IG_Retarget,2813.88,2678,107,6
2023-01-05,Meta Ads,FB_Lookalike,4223.58,8281,259,4
2023-01-05,YouTube Ads,YT_Skippable,848.53,1601,28,0
2023-01-05,YouTube Ads,YT_Bumper,1430.65,4515,190,9
2023-01-05,Email,Weekly_Newsletter,1009.29,2812,53,2
2023-01-05,Email,Cart_Recovery,3283.45,4568,73,3
2023-01-05,Organic Search,SEO_Blog,239.5,6259,111,3
2023-01-05,Organic Search,SEO_Category,175.92,5346,116,5
2023-01-05,Affiliate,Affiliate_Network_A,895.19,1244,27,1
2023-01-05,Affiliate,Affiliate_Network_B,1468.87,3186,33,0
2023-01-06,Google Ads,Search_Brand,323.06,1736,10,0
2023-01-06,Google Ads,Search_Generic,816.69,4073,47,1
2023-01-06,Google Ads,Shopping_Ads,9585.33,8658,256,19
2023-01-06,Google Ads,Display_Retarget,4708.2,9058,139,10
2023-01-06,Meta Ads,IG_Retarget,3481.99,6753,141,1
2023-01-06,Meta Ads,FB_Lookalike,1859.18,4597,187,13
2023-01-06,YouTube Ads,YT_Skippable,5120.07,4946,115,4
2023-01-06,YouTube Ads,YT_Bumper,9790.66,17730,374,17
2023-01-06,Email,Weekly_Newsletter,701.38,451,17,0
2023-01-06,Email,Cart_Recovery,1530.75,7721,59,4
2023-01-06,Affiliate,Affiliate_Network_A,1602.99,8704,161,10
2023-01-06,Referral,Referral_Program,473.56,17690,688,13
2023-01-06,Direct,Direct_Traffic,308.05,4783,50,3
2023-01-07,Google Ads,Search_Generic,4974.84,7876,113,6
2023-01-07,Google Ads,Shopping_Ads,1252.37,10808,163,2
2023-01-07,Google Ads,Display_Retarget,14376.69,9901,334,18
2023-01-07,Meta Ads,FB_Prospecting,1168.89,2404,29,0
2023-01-07,Meta Ads,IG_Retarget,4474.24,18973,385,14
2023-01-07,Meta Ads,FB_Lookalike,1622.32,6159,104,4
2023-01-07,YouTube Ads,YT_Bumper,6676.96,7090,163,7
2023-01-07,Email,Cart_Recovery,19546.38,10231,439,20
2023-01-07,Email,Win_Back,5261.43,9813,320,9
2023-01-07,Organic Search,SEO_Blog,31.01,8382,319,17
2023-01-07,Organic Search,SEO_Category,22.74,7817,320,16
2023-01-07,Affiliate,Affiliate_Network_A,613.04,1928,49,1
2023-01-07,Affiliate,Affiliate_Network_B,699.94,11146,95,3
2023-01-07,Direct,Direct_Traffic,398.75,5225,203,6
2023-01-08,Google Ads,Search_Brand,3806.96,8357,109,5
2023-01-08,Google Ads,Shopping_Ads,15052.97,8306,344,20
2023-01-08,Google Ads,Display_Retarget,1205.47,11697,176,11
2023-01-08,Meta Ads,FB_Prospecting,936.33,4787,47,1
2023-01-08,Meta Ads,IG_Retarget,5043.38,5972,185,13
2023-01-08,YouTube Ads,YT_Skippable,1154.46,4581,55,2
2023-01-08,YouTube Ads,YT_Bumper,2969.57,3503,74,2
2023-01-08,Email,Weekly_Newsletter,1404.92,4252,79,3
2023-01-08,Email,Cart_Recovery,1156.08,3188,55,4
2023-01-08,Email,Win_Back,4728.01,4727,137,7
2023-01-08,Affiliate,Affiliate_Network_A,,6743,243,17
2023-01-08,Affiliate,Affiliate_Network_B,14000.82,15012,423,9
2023-01-08,Referral,Referral_Program,339.07,20424,311,23
2023-01-08,Direct,Direct_Traffic,,2957,130,1
2023-01-09,Google Ads,Search_Brand,1939.83,3685,60,4
2023-01-09,Google Ads,Search_Generic,1309.4,2323,36,1
2023-01-09,Google Ads,Shopping_Ads,2782.9,10325,165,3
2023-01-09,Meta Ads,FB_Prospecting,1943.66,14957,356,23
2023-01-09,Meta Ads,IG_Retarget,6625.52,6587,187,13
2023-01-09,Meta Ads,FB_Lookalike,90.5,1474,8,0
2023-01-09,YouTube Ads,YT_Skippable,1378.41,5356,47,0
2023-01-09,YouTube Ads,YT_Bumper,3803.14,6860,164,9
2023-01-09,Email,Cart_Recovery,240.54,2385,30,0
2023-01-09,Email,Win_Back,6483.16,10293,228,2
2023-01-09,Affiliate,Affiliate_Network_A,8454.59,7416,297,20
2023-01-09,Referral,Referral_Program,154.17,3991,86,5
2023-01-09,Direct,Direct_Traffic,40.45,3960,60,0
2023-01-10,Google Ads,Search_Brand,6578.49,12275,194,2
2023-01-10,Google Ads,Shopping_Ads,1389.39,5186,66,3
2023-01-10,Google Ads,Display_Retarget,475.78,1900,24,0
2023-01-10,Meta Ads,FB_Prospecting,6517.8,3565,159,2
2023-01-10,Meta Ads,FB_Lookalike,5080.24,3625,152,1
2023-01-10,YouTube Ads,YT_Skippable,1571.38,1162,45,3
2023-01-10,YouTube Ads,YT_Bumper,3079.35,2537,76,4
2023-01-10,Email,Weekly_Newsletter,1676.44,4462,96,6
2023-01-10,Email,Cart_Recovery,515.09,969,43,3
2023-01-10,Organic Search,SEO_Blog,252.97,6905,58,1
2023-01-10,Organic Search,SEO_Category,377.63,1395,36,0
2023-01-10,Affiliate,Affiliate_Network_A,917.86,7223,58,2
2023-01-10,Affiliate,Affiliate_Network_B,3338.84,3442,115,6
2023-01-10,Referral,Referral_Program,142.83,5811,253,8
2023-01-10,Direct,Direct_Traffic,100.05,1701,40,1
2023-01-11,Google Ads,Search_Brand,155.6,6257,45,1
2023-01-11,Google Ads,Search_Generic,43677.33,26511,1114,69
2023-01-11,Google Ads,Shopping_Ads,1905.09,3055,44,1
2023-01-11,Meta Ads,IG_Retarget,5793.34,5910,207,16
2023-01-11,Meta Ads,FB_Lookalike,5532.63,9583,330,23
2023-01-11,YouTube Ads,YT_Skippable,3743.45,4082,147,7
2023-01-11,YouTube Ads,YT_Bumper,7427.45,6341,211,3
2023-01-11,Email,Weekly_Newsletter,392.81,1699,14,0
2023-01-11,Email,Cart_Recovery,15519.65,10535,377,29
2023-01-11,Email,Win_Back,1074.89,7597,50,1
2023-01-11,Organic Search,SEO_Blog,337.43,8962,346,4
2023-01-11,Organic Search,SEO_Category,117.99,9709,215,9
2023-01-11,Affiliate,Affiliate_Network_A,919.68,2345,49,2
2023-01-11,Affiliate,Affiliate_Network_B,2769.02,4253,87,5
2023-01-11,Referral,Referral_Program,171.52,1949,66,2
2023-01-12,Google Ads,Search_Brand,639.24,5331,27,1
2023-01-12,Google Ads,Search_Generic,1222.46,2378,85,1
2023-01-12,Google Ads,Shopping_Ads,867.82,2669,46,2
2023-01-12,Google Ads,Display_Retarget,1003.52,2690,74,1
2023-01-12,Meta Ads,FB_Prospecting,2852.7,4252,106,1
2023-01-12,Meta Ads,IG_Retarget,188.83,574,9,0
