order_item_id,order_id,product_id,quantity,unit_price
OI1,O500001,P2201,1,17923.33
OI2,O500002,P2584,1,713.31
OI3,O500003,P2652,1,12798.05
OI4,O500004,P2500,1,10535.16
OI5,O500004,P2207,1,16276.39
OI6,O500005,P2631,2,2884.95
OI7,O500005,P2362,2,9194.11
OI8,O500006,P2180,1,14662.8
OI9,O500006,P2386,3,3354.25
OI10,O500007,P2765,1,5383.36
OI11,O500008,P2581,2,4961.65
OI12,O500009,P2299,1,11728.77
OI13,O500010,P2739,1,11966.61
OI14,O500010,P2780,1,5850.99
OI15,O500011,P2122,1,19717.42
OI16,O500012,P2568,1,14456.13
OI17,O500013,P2233,1,15671.74
OI18,O500014,P2428,1,14850.84
OI19,O500015,P2023,1,7113.39
OI20,O500016,P2528,3,3604.66
OI21,O500017,P2508,1,6603.99
OI22,O500018,P2374,1,1393.97
OI23,O500018,P2640,1,19648.17
OI24,O500019,P2471,1,15431.01
OI25,O500019,P2744,1,9260.37
OI26,O500019,P2518,1,8366.75
OI27,O500019,P2358,1,10944.91
OI28,O500019,P2651,1,2528.84
OI29,O500020,P2669,1,4128.84
OI30,O500021,P2024,1,3540.1
OI31,O500021,P2559,1,6519.37
OI32,O500021,P2652,1,12548.38
OI33,O500022,P2513,1,19539.36
OI34,O500023,P2736,1,11563.66
OI35,O500024,P2755,1,16040.52
OI36,O500025,P2567,1,4879.55
OI37,O500025,P2621,1,6814.51
OI38,O500026,P2724,1,10230.15
OI39,O500026,P2725,1,8032.05
OI40,O500027,P2361,1,10148.48
OI41,O500028,P2611,1,3263.77
OI42,O500028,P2634,1,10067.22
OI43,O500028,P2158,1,772.07
OI44,O500029,P2789,1,17599.08
OI45,O500030,P2781,1,4446.55
OI46,O500030,P2215,1,11871.06
OI47,O500030,P2619,3,5370.27
OI48,O500030,P2056,3,835.36
OI49,O500031,P2684,1,18848.57
OI50,O500031,P2488,1,14328.13
OI51,O500031,P2791,1,15147.82
OI52,O500032,P2761,1,13668.77
OI53,O500032,P2233,1,15018.8
OI54,O500033,P2585,1,10628.6
OI55,O500033,P2688,1,1475.85
OI56,O500034,P2610,1,4829.35
OI57,O500035,P2739,1,12073.62
OI58,O500035,P2365,1,493.51
OI59,O500035,P2121,1,18078.33
OI60,O500036,P2169,1,1721.34
OI61,O500036,P2154,1,7878.45
OI62,O500037,P2141,1,668.45
OI63,O500038,P2617,1,3097.15
OI64,O500038,P2135,1,16102.1
OI65,O500038,P2225,1,1546.52
OI66,O500039,P2482,1,11319.92
OI67,O500039,P2627,1,12757.93
OI68,O500040,P2363,1,15323.11
OI69,O500041,P2579,1,878.0
OI70,O500042,P2494,3,3258.17
OI71,O500042,P2767,1,4428.45
OI72,O500042,P2508,1,6946.6
OI73,O500042,P2203,1,15010.07
OI74,O500043,P2685,1,2183.66
OI75,O500044,P2292,1,17627.48
OI76,O500045,P2244,2,14574.09
OI77,O500045,P2260,2,2355.6
OI78,O500046,P2318,1,11814.58
OI79,O500046,P2234,1,3805.8
OI80,O500047,P2572,3,15161.17
OI81,O500048,P2724,1,11088.76
OI82,O500048,P2204,1,3896.21
OI83,O500048,P2087,1,9489.58
OI84,O500049,P2118,1,8858.09
OI85,O500050,P2322,1,14002.96
OI86,O500050,P2260,1,2301.36
OI87,O500051,P2694,1,20500.16
OI88,O500052,P2439,1,9316.45
OI89,O500052,P2425,1,5025.93
OI90,O500053,P2193,1,6512.09
OI91,O500054,P2599,1,17531.88
OI92,O500055,P2493,1,4640.57
OI93,O500056,P2233,1,15120.48
OI94,O500056,P2126,1,8270.99
OI95,O500057,P2232,1,2892.46
OI96,O500058,P2010,1,11799.3
OI97,O500059,P2642,1,4858.44
OI98,O500059,P2134,1,4222.4
OI99,O500059,P2109,1,1795.01
OI100,O500060,P2621,1,7118.84
OI101,O500060,P2253,1,13928.9
OI102,O500061,P2686,1,11137.78
OI103,O500062,P2763,1,14042.65
OI104,O500062,P2040,1,7258.61
OI105,O500063,P2694,1,20534.55
OI106,O500063,P2463,1,14834.4
OI107,O500063,P2308,1,19660.08
OI108,O500064,P2537,1,3116.5
OI109,O500064,P2229,1,7116.33
OI110,O500064,P2004,1,16231.11
OI111,O500065,P2632,1,14781.34
OI112,O500066,P2599,1,17841.8
OI113,O500067,P2514,1,1406.89
OI114,O500068,P2686,1,10604.16
OI115,O500068,P2113,1,8941.96
OI116,O500069,P2679,1,5251.97
OI117,O500069,P2141,1,702.08
OI118,O500070,P2747,1,8596.47
OI119,O500071,P2122,1,18865.67
OI120,O500071,P2621,1,6971.92
OI121,O500072,P2652,1,12687.11
OI122,O500072,P2067,1,0.0
OI123,O500073,P2683,1,7208.66
OI124,O500073,P2732,1,17450.79
OI125,O500074,P2243,3,8988.84
OI126,O500075,P2070,1,17413.91
OI127,O500076,P2431,1,3081.12
