order_id,customer_id,order_date,order_status,payment_method,discount,shipping_cost
O500001,C104808,2025-11-02 01:11:20,Cancelled,Net Banking,0.2,0.0
O500002,C109059,2025-09-04 11:23:37,Completed,Debit Card,0.0,49.0
O500003,C108111,2025-10-10 22:13:40,Completed,Debit Card,0.05,0.0
O500004,C105984,2025-08-22 18:11:28,Cancelled,COD,0.15,0.0
O500005,C101633,2024-10-30 15:10:37,Completed,Debit Card,0.2,0.0
O500006,C114613,2025-10-05 04:37:51,Completed,Net Banking,0.0,49.0
O500007,C102656,2024-06-09 15:31:00,Completed,Credit Card,0.2,49.0
O500008,C109552,2024-12-17 22:24:58,Returned,UPI,0.0,0.0
O500009,C101253,2025-03-02 16:50:21,Completed,Wallet,0.0,149.0
O500010,C110337,2025-12-13 06:34:56,Returned,Net Banking,0.0,49.0
O500011,C101440,2025-11-15 22:09:04,Completed,Net Banking,0.15,149.0
O500012,C103505,2024-08-06 19:26:27,Returned,Net Banking,0.1,99.0
O500013,C109746,2025-06-03 22:33:06,Completed,Wallet,0.0,0.0
O500014,C104321,2025-10-17 10:56:49,Completed,Credit Card,0.2,149.0
O500015,C108035,2025-12-09 22:37:06,Completed,Credit Card,0.15,49.0
O500016,C101890,2024-07-06 19:26:42,Completed,Wallet,0.1,149.0
O500017,C103076,2025-07-24 06:40:47,Completed,Wallet,0.1,149.0
O500018,C111036,2025-12-10 10:16:10,Completed,COD,0.0,99.0
O500019,C100537,2025-07-22 23:29:19,Completed,Credit Card,0.15,0.0
O500020,C101688,2025-08-31 17:26:42,Completed,Net Banking,0.0,0.0
O500021,C103289,2024-05-04 08:45:15,Pending,COD,0.15,0.0
O500022,C100308,2025-04-06 04:51:19,Completed,Wallet,0.1,149.0
O500023,C101454,2025-12-29 22:10:46,Pending,Debit Card,0.1,49.0
O500024,C104283,2025-09-11 21:36:50,Completed,UPI,0.1,0.0
O500025,C101403,2024-05-09 18:43:05,Returned,Net Banking,0.1,99.0
O500026,C113018,2025-11-27 08:01:08,Cancelled,Wallet,0.0,0.0
O500027,C100996,2025-08-22 02:51:21,Completed,Debit Card,0.15,99.0
O500028,C112937,2025-12-23 11:39:35,Completed,Net Banking,0.2,0.0
O500029,C112406,2025-11-06 19:48:29,Completed,Wallet,0.0,49.0
O500030,C101534,2024-11-28 20:07:43,Completed,Credit Card,0.1,0.0
O500031,C100381,2025-02-03 19:09:50,Returned,COD,0.15,49.0
O500032,C100765,2025-04-01 04:57:23,Returned,UPI,0.0,0.0
O500033,C108896,2025-07-13 08:58:22,Cancelled,Credit Card,0.0,99.0
O500034,C110094,2025-10-10 01:56:39,Cancelled,COD,0.2,0.0
O500035,C109365,2024-04-14 20:39:43,Returned,Wallet,0.0,0.0
O500036,C108154,2023-09-28 23:00:47,Completed,UPI,0.0,49.0
O500037,C102656,2025-06-23 21:43:52,Completed,UPI,0.05,0.0
O500038,C112658,2025-09-27 13:56:31,Completed,Debit Card,0.1,0.0
O500039,C104967,2025-09-20 16:55:41,Completed,Wallet,0.1,0.0
O500040,C114886,2025-01-22 09:07:24,Pending,UPI,0.0,149.0
O500041,C105850,2024-08-29 08:28:32,Completed,Debit Card,0.15,0.0
O500042,C104000,2025-11-24 04:50:38,Returned,UPI,0.0,149.0
O500043,C113453,2023-07-01 06:09:49,Returned,COD,0.15,0.0
O500044,C108579,2024-12-07 01:44:35,Completed,COD,0.0,49.0
O500045,C110848,2025-11-16 01:55:27,Completed,COD,0.1,99.0
O500046,C106191,2025-12-07 10:35:29,Completed,debit card,0.1,99.0
O500047,C113338,2025-12-25 19:56:29,Completed,Net Banking,0.2,49.0
O500048,C113813,2025-12-01 06:11:20,Completed,COD,0.0,49.0
