product_id,product_name,category,subcategory,brand,cost,selling_price
P2001,Orenda Mobiles Classic,Electronics,Mobiles,Urbana,9590.26,12790.69
P2002,Nimbus Headphones,Electronics,Headphones,Craveon,14469.25,17907.02
P2003,Petal Laptops Air,Electronics,Laptops,Bexley,8838.45,12639.73
P2004,Solace Headphones Pro,Electronics,Headphones,Bexley,12392.19,16268.32
P2005,Orenda Mobiles Classic,Electronics,Mobiles,Orenda,10319.48,13118.95
P2006,Trekko Mobiles Classic,Electronics,Mobiles,Nordik,6560.37,9894.68
P2007,Petal Headphones Lite,Electronics,Headphones,Petal,14251.12,20486.37
P2008,Lumex Mobiles Lite,Electronics,Mobiles,Orenda,5646.56,8345.75
P2009,Marvo Mobiles Max,Electronics,Mobiles,Aurex,436.71,520.16
P2010,Lumex Accessories Plus,Electronics,Accessories,Klipso,9937.54,12585.89
P2011,Forgeon Cameras Classic,Electronics,Cameras,Aurex,14273.22,18903.8
P2012,Nordik Laptops Lite,Electronics,Laptops,Forgeon,6469.0,9193.95
P2013,Zylo Mobiles Lite,Electronics,Mobiles,Urbana,11525.15,15446.28
P2014,Orenda Mobiles Max,Electronics,Mobiles,Klipso,3249.31,4741.79
P2015,Klipso Laptops Pro,Electronics,Laptops,Petal,4839.25,5904.1
P2016,Petal Mobiles Lite,Electronics,Mobiles,Zylo,9493.02,11260.44
P2017,Petal Cameras Air,Electronics,Cameras,Forgeon,,20443.52
P2018,Klipso Laptops Lite,Electronics,Laptops,Petal,14789.14,19012.29
P2019,Zylo Headphones Pro,Electronics,Headphones,Vantra,14569.52,17603.26
P2020,Forgeon Headphones Air,Electronics,Headphones,Urbana,,765.84
P2021,Petal Laptops,Electronics,Laptops,Forgeon,6999.81,8282.19
P2022,Bexley Mobiles Lite,Electronics,Mobiles,Forgeon,7706.91,9872.55
P2023,Urbana Headphones Air,Electronics,Headphones,Forgeon,5067.65,7116.22
P2024,Nimbus Headphones Plus,Electronics,Headphones,Urbana,2488.32,3624.54
P2025,Solace Laptops Classic,Electronics,Laptops,Klipso,8751.36,13266.87
P2026,Craveon Headphones Classic,Electronics,Headphones,Zylo,5504.37,8493.72
P2027,Urbana Mobiles Max,Electronics,Mobiles,Nimbus,8658.62,13328.74
P2028,Klipso Laptops Plus,Electronics,Laptops,Vantra,454.56,655.11
P2029,Klipso Laptops Max,Electronics,Laptops,Nordik,12258.49,14357.99
P2030,Craveon Headphones Max,Electronics,Headphones,Trekko,8705.6,12804.0
P2031,Bexley Laptops Air,Electronics,Laptops,Bexley,8437.53,9918.53
P2032,Vantra Headphones Classic,Electronics,Headphones,Vantra,10417.04,12232.09
P2033,Zylo Laptops Lite,Electronics,Laptops,Zylo,12271.16,14323.07
