experiment_id,customer_id,variant,experiment_date,converted,revenue
EXP001_checkout_redesign,C110476,control,2025-06-27,0,0.0
EXP001_checkout_redesign,C101824,treatment,2025-06-06,0,0.0
EXP001_checkout_redesign,C100409,control,2025-06-20,0,0.0
EXP001_checkout_redesign,C112149,control,2025-06-21,0,0.0
EXP001_checkout_redesign,C104506,control,2025-06-29,0,0.0
EXP001_checkout_redesign,C104012,control,2025-06-11,0,0.0
EXP001_checkout_redesign,C103657,control,2025-06-15,0,0.0
EXP001_checkout_redesign,C102286,treatment,2025-06-22,0,0.0
EXP001_checkout_redesign,C112066,control,2025-06-23,0,0.0
EXP001_checkout_redesign,C101679,control,2025-06-04,0,0.0
EXP001_checkout_redesign,C111087,treatment,2025-06-27,0,0.0
EXP001_checkout_redesign,C112135,treatment,2025-06-24,1,1694.05
EXP001_checkout_redesign,C114617,control,2025-06-14,0,0.0
EXP001_checkout_redesign,C108935,treatment,2025-06-05,0,0.0
EXP001_checkout_redesign,C101424,treatment,2025-06-23,0,0.0
EXP001_checkout_redesign,C109674,control,2025-06-22,0,0.0
EXP001_checkout_redesign,C106912,control,2025-06-27,0,0.0
EXP001_checkout_redesign,C100520,treatment,2025-06-27,0,0.0
EXP001_checkout_redesign,C100488,treatment,2025-06-21,0,0.0
EXP001_checkout_redesign,C101535,control,2025-06-23,0,0.0
EXP001_checkout_redesign,C103582,treatment,2025-06-11,0,0.0
EXP001_checkout_redesign,C103811,treatment,2025-06-20,0,0.0
EXP001_checkout_redesign,C108279,control,2025-06-07,0,0.0
EXP001_checkout_redesign,C109863,control,2025-06-13,0,0.0
EXP001_checkout_redesign,C100434,control,2025-06-19,0,0.0
EXP001_checkout_redesign,C109195,treatment,2025-06-24,0,0.0
EXP001_checkout_redesign,C103257,treatment,2025-06-26,1,1993.49
EXP001_checkout_redesign,C111731,control,2025-06-04,0,0.0
EXP001_checkout_redesign,C110647,treatment,2025-06-20,1,1232.56
EXP001_checkout_redesign,C111490,treatment,2025-06-12,1,3254.5
EXP001_checkout_redesign,C108928,control,2025-06-14,0,0.0
EXP001_checkout_redesign,C106873,treatment,2025-06-01,0,0.0
EXP001_checkout_redesign,C103611,control,2025-06-08,1,4546.13
EXP001_checkout_redesign,C107359,control,2025-06-16,1,5546.36
EXP001_checkout_redesign,C109654,treatment,2025-06-21,0,0.0
EXP001_checkout_redesign,C104557,treatment,2025-06-25,0,0.0
EXP001_checkout_redesign,C113261,treatment,2025-06-19,0,0.0
EXP001_checkout_redesign,C114242,control,2025-06-05,0,0.0
EXP001_checkout_redesign,C100106,control,2025-06-14,0,0.0
EXP001_checkout_redesign,C112432,treatment,2025-06-12,0,0.0
EXP001_checkout_redesign,C113202,control,2025-06-12,0,0.0
EXP001_checkout_redesign,C102615,treatment,2025-06-30,0,0.0
EXP001_checkout_redesign,C111438,treatment,2025-06-20,0,0.0
EXP001_checkout_redesign,C106924,treatment,2025-06-12,0,0.0
EXP001_checkout_redesign,C105574,treatment,2025-06-11,0,0.0
EXP001_checkout_redesign,C104552,control,2025-06-15,1,5199.82
EXP001_checkout_redesign,C102547,treatment,2025-06-07,0,0.0
EXP001_checkout_redesign,C103527,control,2025-06-10,0,0.0
EXP001_checkout_redesign,C112509,treatment,2025-06-30,0,0.0
EXP001_checkout_redesign,C105514,control,2025-06-05,1,5297.1
EXP001_checkout_redesign,C101674,treatment,2025-06-15,0,0.0
EXP001_checkout_redesign,C101519,control,2025-06-02,0,0.0
EXP001_checkout_redesign,C106224,control,2025-06-22,0,0.0
EXP001_checkout_redesign,C101584,treatment,2025-06-13,0,0.0
EXP001_checkout_redesign,C105881,treatment,2025-06-14,0,0.0
EXP001_checkout_redesign,C113885,control,2025-06-20,0,0.0
EXP001_checkout_redesign,C105635,treatment,2025-06-06,0,0.0
EXP001_checkout_redesign,C109891,control,2025-06-01,0,0.0
EXP001_checkout_redesign,C104333,control,2025-06-15,0,0.0
EXP001_checkout_redesign,C113223,control,2025-06-11,0,0.0
EXP001_checkout_redesign,C100711,treatment,2025-06-13,0,0.0
EXP001_checkout_redesign,C111955,control,2025-06-28,0,0.0
EXP001_checkout_redesign,C107527,control,2025-06-17,0,0.0
EXP001_checkout_redesign,C108785,control,2025-06-04,0,0.0
EXP001_checkout_redesign,C102045,treatment,2025-06-23,1,3448.73
EXP001_checkout_redesign,C106201,control,2025-06-11,0,0.0
EXP001_checkout_redesign,C101291,treatment,2025-06-23,0,0.0
