customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_segment
C100000,255,3,63278.090000000004,2,3,4,9,At Risk
C100002,441,2,60762.6125,1,2,3,6,Hibernating
C100005,207,1,16546.36,2,1,1,4,Lost
C100006,211,2,51078.005000000005,2,2,3,7,Hibernating
C100007,22,2,43114.613,4,2,3,9,New Customers
C100010,201,2,24133.83,2,2,2,6,Lost
C100011,23,13,272310.2745,4,5,5,14,Champions
C100013,22,4,105310.6415,4,4,4,12,Champions
C100014,220,2,40911.79,2,2,3,7,Hibernating
C100015,4,3,86421.609,5,3,4,12,Loyal Customers
C100016,22,7,134172.536,4,5,5,14,Champions
C100017,82,2,24910.2,3,2,2,7,Hibernating
C100018,149,1,24399.05,2,1,2,5,Lost
C100019,393,3,55448.167,1,3,3,7,At Risk
C100020,65,9,199134.932,3,5,5,13,Loyal Customers
C100022,8,2,35068.215500000006,5,2,2,9,New Customers
C100023,272,4,101879.545,2,4,4,10,Cannot Lose Them
C100024,329,1,65102.04,1,1,4,6,Hibernating
C100025,162,2,41245.1,2,2,3,7,Hibernating
C100026,55,4,60844.7555,4,4,3,11,Loyal Customers
C100027,48,1,10601.704,4,1,1,6,New Customers
C100028,544,2,30826.941000000006,1,2,2,5,Lost
C100029,28,13,356861.9535,4,5,5,14,Champions
C100030,6,2,51959.018000000004,5,2,3,10,New Customers
C100031,29,5,49808.401,4,4,3,11,Loyal Customers
C100032,5,2,39532.958,5,2,3,10,New Customers
C100033,311,1,24156.624,1,1,2,4,Lost
C100034,63,5,73540.24100000001,3,4,4,11,Loyal Customers
C100035,255,1,11766.9325,2,1,1,4,Lost
C100036,108,6,143635.335,3,5,5,13,Loyal Customers
C100037,561,2,38502.72,1,2,3,6,Hibernating
C100038,232,2,57226.1855,2,2,3,7,Hibernating
C100040,382,2,59652.902,1,2,3,6,Hibernating
C100041,12,2,66021.92,5,2,4,11,New Customers
C100042,200,3,27546.481,2,3,2,7,At Risk
C100043,205,10,201989.61,2,5,5,12,Cannot Lose Them
C100044,29,12,232976.0345,4,5,5,14,Champions
C100045,88,1,8290.83,3,1,1,5,Hibernating
C100046,156,1,108.14,2,1,1,4,Lost
C100048,49,6,156896.732,4,5,5,14,Champions
C100049,100,4,107620.03349999999,3,4,5,12,Loyal Customers
C100050,124,3,44920.729,3,3,3,9,Loyal Customers
C100053,207,1,3597.11,2,1,1,4,Lost
C100054,504,1,33866.455,1,1,2,4,Lost
C100055,49,1,25361.586,4,1,2,7,New Customers
C100056,159,7,222132.52899999998,2,5,5,12,Cannot Lose Them
C100057,66,5,160991.34649999999,3,4,5,12,Loyal Customers
C100058,332,2,40553.04,1,2,3,6,Hibernating
C100059,276,3,50089.133,2,3,3,8,At Risk
C100060,0,3,57505.7,5,3,3,11,Loyal Customers
C100062,404,1,9634.2825,1,1,1,3,Lost
C100063,275,3,53423.885500000004,2,3,3,8,At Risk
C100064,304,2,16460.1165,1,2,1,4,Lost
C100066,186,1,33714.706,2,1,2,5,Lost
C100068,550,1,20765.07,1,1,2,4,Lost
C100070,51,1,7584.36,4,1,1,6,New Customers
C100071,339,1,2189.65,1,1,1,3,Lost
C100072,5,2,67555.465,5,2,4,11,New Customers
C100078,30,3,47944.074,4,3,3,10,Loyal Customers
C100080,329,4,68199.84550000001,1,4,4,9,Cannot Lose Them
C100083,0,2,32527.716,5,2,2,9,New Customers
C100084,267,4,152403.25,2,4,5,11,Cannot Lose Them
C100085,17,1,11706.33,5,1,1,7,New Customers
C100087,83,3,87272.25600000001,3,3,4,10,Loyal Customers
C100089,11,8,281126.0375,5,5,5,15,Champions
C100091,7,5,174823.972,5,4,5,14,Champions
C100092,172,2,45587.06,2,2,3,7,Hibernating
C100093,428,2,86876.326,1,2,4,7,Hibernating
C100095,588,1,7212.7429999999995,1,1,1,3,Lost
C100096,86,5,93114.6095,3,4,4,11,Loyal Customers
C100097,14,8,108154.351,5,5,5,15,Champions
C100100,331,1,39796.4,1,1,3,5,Hibernating
C100101,0,1,25531.152000000002,5,1,2,8,New Customers
C100102,367,1,5514.32,1,1,1,3,Lost
C100104,283,2,62281.29000000001,2,2,3,7,Hibernating
C100105,50,4,40271.0895,4,4,3,11,Loyal Customers
C100108,728,1,4815.063,1,1,1,3,Lost
C100110,118,4,106343.519,3,4,4,11,Loyal Customers
C100113,48,3,39662.498,4,3,3,10,Loyal Customers
C100118,84,5,69490.245,3,4,4,11,Loyal Customers
C100119,391,1,8109.252,1,1,1,3,Lost
C100120,13,5,164924.81,5,4,5,14,Champions
C100121,117,2,53174.2745,3,2,3,8,Potential Loyalists
C100122,145,3,35603.043999999994,2,3,2,7,At Risk
C100123,78,2,48284.130000000005,3,2,3,8,Potential Loyalists
C100124,46,1,15828.425,4,1,1,6,New Customers
C100125,30,2,38765.335999999996,4,2,3,9,New Customers
C100128,623,5,109381.398,1,4,5,10,Cannot Lose Them
C100129,104,3,27398.426499999998,3,3,2,8,Loyal Customers
C100130,223,1,22530.12,2,1,2,5,Lost
C100131,16,4,82311.24849999999,5,4,4,13,Champions
C100132,439,2,58558.62500000001,1,2,3,6,Hibernating
C100135,963,1,43627.113000000005,1,1,3,5,Hibernating
C100136,17,2,37132.92,5,2,2,9,New Customers
C100137,6,1,14792.93,5,1,1,7,New Customers
C100138,729,1,18828.86,1,1,2,4,Lost
C100139,219,5,126673.931,2,4,5,11,Cannot Lose Them
C100140,670,2,1955.913,1,2,1,4,Lost
C100141,515,2,64008.555,1,2,4,7,Hibernating
C100142,22,3,68032.314,4,3,4,11,Loyal Customers
C100144,64,5,177611.899,3,4,5,12,Loyal Customers
C100145,98,8,140017.429,3,5,5,13,Loyal Customers
C100146,5,5,52282.342,5,4,3,12,Loyal Customers
C100148,194,2,46226.8885,2,2,3,7,Hibernating
C100149,241,2,13379.536,2,2,1,5,Lost
C100152,30,6,82298.58799999999,4,5,4,13,Champions
C100155,546,2,71012.29800000001,1,2,4,7,Hibernating
C100157,134,5,67651.518,3,4,4,11,Loyal Customers
C100158,484,1,19103.3505,1,1,2,4,Lost
C100161,22,11,280422.3635,4,5,5,14,Champions
C100165,344,3,28738.781,1,3,2,6,At Risk
C100166,646,1,18797.76,1,1,2,4,Lost
C100167,2,12,239970.891,5,5,5,15,Champions
C100168,26,8,195109.903,4,5,5,14,Champions
C100169,52,5,49615.443999999996,4,4,3,11,Loyal Customers
C100170,54,10,248932.773,4,5,5,14,Champions
C100171,73,1,33126.633,3,1,2,6,Hibernating
C100173,158,1,13420.8115,2,1,1,4,Lost
C100175,100,6,113405.6895,3,5,5,13,Loyal Customers
C100177,12,7,80875.267,5,5,4,14,Champions
C100178,22,3,66162.89300000001,4,3,4,11,Loyal Customers
C100180,40,1,13567.895499999999,4,1,1,6,New Customers
C100183,134,3,100958.95,3,3,4,10,Loyal Customers
C100184,315,1,22316.392,1,1,2,4,Lost
C100186,26,5,131854.902,4,4,5,13,Champions
C100187,832,2,11166.674,1,2,1,4,Lost
C100188,35,1,4155.8225,4,1,1,6,New Customers
C100189,87,6,108319.539,3,5,5,13,Loyal Customers
C100190,133,3,83083.641,3,3,4,10,Loyal Customers
C100191,50,2,43377.642,4,2,3,9,New Customers
C100192,26,5,110968.5065,4,4,5,13,Champions
C100193,15,8,140590.265,5,5,5,15,Champions
C100194,3,5,57775.214,5,4,3,12,Loyal Customers
C100196,208,2,71390.2005,2,2,4,8,Hibernating
C100198,20,5,114315.3385,5,4,5,14,Champions
