customer_id,days_since_last_purchase,purchase_frequency,total_spend,avg_order_value,number_of_sessions,cart_abandonment,returns,discount_usage,churned,churn_probability,risk_segment
C101110,579,1,68951.55,68951.55,10.0,1.0,2.0,0.0,1,0.8601964974190736,High Risk
C103925,642,1,67860.846,67860.846,8.0,0.0,1.0,1.0,1,0.8366556023456408,High Risk
C100595,193,1,69182.458,69182.458,9.0,0.0,1.0,1.0,1,0.8351183198553062,High Risk
C101405,755,1,68008.77900000001,68008.77900000001,16.0,3.0,1.0,1.0,1,0.8317893972817886,High Risk
C100339,472,1,69596.334,69596.334,13.0,2.0,1.0,1.0,1,0.8314420068956914,High Risk
C107089,277,1,75695.951,75695.951,6.0,2.0,2.0,1.0,1,0.8280283264508742,High Risk
C113120,382,1,23464.4395,23464.4395,21.0,6.0,0.0,1.0,1,0.8227645765372867,High Risk
C101935,416,1,23981.645,23981.645,15.0,6.0,0.0,1.0,1,0.812368784404691,High Risk
C103975,67,1,25536.855,25536.855,14.0,6.0,0.0,1.0,0,0.809228528148232,High Risk
C111225,646,1,89550.48000000001,89550.48000000001,4.0,1.0,0.0,0.0,1,0.8084880348047535,High Risk
C112405,734,1,74564.265,74564.265,8.0,0.0,1.0,1.0,1,0.8084197139086862,High Risk
C106830,309,1,22458.911999999997,22458.911999999997,14.0,6.0,0.0,1.0,1,0.8062958452592608,High Risk
C112138,273,1,46380.546,46380.546,10.0,1.0,2.0,1.0,1,0.8053809292070498,High Risk
C114095,869,1,54852.1735,54852.1735,8.0,6.0,2.0,1.0,1,0.8024324698275297,High Risk
C101701,216,1,70452.5475,70452.5475,11.0,3.0,1.0,1.0,1,0.8019494332903156,High Risk
C107376,185,1,24007.8165,24007.8165,14.0,4.0,0.0,1.0,1,0.8015671234136047,High Risk
C106214,610,1,67202.65,67202.65,7.0,2.0,0.0,0.0,1,0.7983070959675179,High Risk
C103427,176,1,36713.1395,36713.1395,10.0,4.0,3.0,1.0,1,0.7982656416214011,High Risk
C112656,50,1,24878.692499999997,24878.692499999997,15.0,4.0,0.0,1.0,0,0.7982370584089287,High Risk
C107421,257,1,71215.209,71215.209,9.0,2.0,1.0,1.0,1,0.7980547583129048,High Risk
C101597,680,1,66902.58,66902.58,5.0,2.0,0.0,0.0,1,0.797812759761619,High Risk
C113464,247,1,70658.53,70658.53,7.0,1.0,0.0,0.0,1,0.7966115990617226,High Risk
C114444,163,1,44242.956000000006,44242.956000000006,11.0,4.0,2.0,1.0,1,0.7964242675828618,High Risk
C108808,421,1,24978.744,24978.744,13.0,5.0,0.0,1.0,1,0.7961252830581955,High Risk
C111415,279,1,24612.696000000004,24612.696000000004,13.0,5.0,0.0,1.0,1,0.7946133106962568,High Risk
C106622,125,1,17142.29,17142.29,12.0,4.0,2.0,0.0,1,0.793568940213469,High Risk
C105348,243,1,70409.649,70409.649,14.0,1.0,0.0,1.0,1,0.7933721697525681,High Risk
C100621,345,1,16670.65,16670.65,13.0,4.0,2.0,0.0,1,0.7927796892192286,High Risk
C101558,935,1,72871.497,72871.497,11.0,2.0,1.0,1.0,1,0.7923666624365571,High Risk
C104955,250,1,70604.91,70604.91,12.0,4.0,1.0,0.0,1,0.7921809221658933,High Risk
C109276,137,1,25746.2705,25746.2705,16.0,6.0,0.0,1.0,1,0.7909188665388065,High Risk
C108929,174,1,79898.75,79898.75,3.0,1.0,0.0,0.0,1,0.79016794130176,High Risk
C108718,211,1,21270.440000000002,21270.440000000002,9.0,2.0,2.0,1.0,1,0.7899498050373549,High Risk
C107870,806,1,26107.2,26107.2,14.0,4.0,0.0,1.0,1,0.7896456366401177,High Risk
C113823,500,1,36538.656,36538.656,7.0,1.0,2.0,1.0,1,0.7895451806261461,High Risk
C114915,189,1,68446.16,68446.16,4.0,0.0,0.0,0.0,1,0.7893744351647649,High Risk
C103236,190,1,68691.76999999999,68691.76999999999,8.0,0.0,0.0,0.0,1,0.7891127799190035,High Risk
C111223,406,1,70956.63,70956.63,8.0,4.0,1.0,0.0,1,0.7874923548592225,High Risk
C114993,267,1,37074.496,37074.496,14.0,5.0,0.0,1.0,1,0.7874288181570792,High Risk
C103372,685,1,69680.28,69680.28,12.0,4.0,1.0,0.0,1,0.7871809221658933,High Risk
C106264,198,1,52373.340000000004,52373.340000000004,13.0,3.0,2.0,0.0,1,0.7870863291136542,High Risk
C104382,282,1,19467.37,19467.37,6.0,1.0,2.0,0.0,1,0.785899366627939,High Risk
C110047,464,1,66989.9815,66989.9815,9.0,3.0,1.0,1.0,1,0.7853879189041977,High Risk
C112007,1054,1,71195.24,71195.24,13.0,3.0,0.0,0.0,1,0.7851647659216553,High Risk
C114232,141,1,22009.928,22009.928,14.0,4.0,0.0,1.0,1,0.7847671277227558,High Risk
C109669,719,1,7450.640999999999,7450.640999999999,13.0,2.0,0.0,1.0,1,0.7847641120677874,High Risk
C113254,195,1,7284.088000000001,7284.088000000001,13.0,3.0,0.0,1.0,1,0.7845416667788094,High Risk
C104287,568,1,76923.2,76923.2,5.0,2.0,1.0,0.0,1,0.7843691546823882,High Risk
C112210,179,1,2806.1369999999997,2806.1369999999997,13.0,6.0,1.0,1.0,1,0.7835284139832965,High Risk
C108445,523,1,77845.42000000001,77845.42000000001,7.0,1.0,0.0,0.0,1,0.7820254643761549,High Risk
C113679,164,1,25066.5385,25066.5385,14.0,2.0,1.0,1.0,1,0.7817901981505909,High Risk
C101971,280,1,68548.54999999999,68548.54999999999,12.0,2.0,1.0,0.0,1,0.7816177219914784,High Risk
C112358,193,1,7529.3769999999995,7529.3769999999995,12.0,6.0,0.0,1.0,1,0.7816056233269084,High Risk
C113579,240,1,26882.811,26882.811,14.0,3.0,0.0,1.0,1,0.7814210378974241,High Risk
C103928,226,1,84030.29299999999,84030.29299999999,13.0,9.0,1.0,1.0,1,0.7797167003986312,High Risk
C104102,873,1,5082.994000000001,5082.994000000001,5.0,1.0,1.0,1.0,1,0.7796095802791253,High Risk
C105436,218,1,6714.144,6714.144,13.0,4.0,0.0,1.0,1,0.7791178602826246,High Risk
C103652,689,1,36839.520000000004,36839.520000000004,14.0,4.0,0.0,1.0,1,0.7780343440076335,High Risk
C103991,328,1,78891.85,78891.85,8.0,1.0,0.0,0.0,1,0.7780247880922846,High Risk
C104995,819,1,90155.7,90155.7,7.0,2.0,0.0,0.0,1,0.7776673147245571,High Risk
C107980,457,1,22431.399999999998,22431.399999999998,13.0,4.0,0.0,1.0,1,0.7776412369178699,High Risk
C100994,750,1,55831.43,55831.43,8.0,2.0,2.0,0.0,1,0.7774810125102992,High Risk
C107258,170,1,6628.977,6628.977,13.0,4.0,0.0,1.0,1,0.7770304478085791,High Risk
C106348,181,1,40041.72,40041.72,15.0,5.0,1.0,1.0,1,0.7769005797552418,High Risk
C101477,778,1,5255.808000000001,5255.808000000001,8.0,6.0,0.0,1.0,1,0.7768704439280094,High Risk
C110772,101,1,13268.619999999999,13268.619999999999,6.0,2.0,2.0,0.0,1,0.7767141536987616,High Risk
C107169,240,1,28619.4055,28619.4055,14.0,4.0,1.0,1.0,1,0.7766186591453913,High Risk
C111985,146,1,31368.374499999998,31368.374499999998,13.0,3.0,1.0,1.0,1,0.7759410971727366,High Risk
C102502,148,1,18828.648,18828.648,6.0,0.0,1.0,1.0,1,0.7757860720259788,High Risk
C103323,564,1,18781.8805,18781.8805,6.0,0.0,1.0,1.0,1,0.7757860720259788,High Risk
C107139,248,1,5583.53,5583.53,13.0,5.0,0.0,1.0,1,0.773968111873365,High Risk
C114796,422,1,41820.405999999995,41820.405999999995,14.0,4.0,0.0,1.0,1,0.7732160548447018,High Risk
