customer_id,days_since_last_purchase,purchase_frequency,total_spend,avg_order_value,number_of_sessions,cart_abandonment,returns,discount_usage,churned,churn_probability,risk_segment
C111360,119,13,368644.1975,28357.24596153846,18.0,6.0,8.0,0.46153846153846156,1,0.612387839284956,High Risk
C110674,205,4,207347.38,51836.845,7.0,3.0,2.0,0.5,1,0.6992014277707806,High Risk
C102034,269,4,198569.276,49642.319,8.0,3.0,2.0,0.5,1,0.6751530434661278,High Risk
C114933,195,4,197827.1205,49456.780125000005,5.0,1.0,1.0,0.25,1,0.6543501274237751,High Risk
C111904,398,4,193718.3605,48429.590125,3.0,1.0,1.0,0.5,1,0.6574251935064135,High Risk
C100628,98,4,183501.568,45875.392,12.0,4.0,1.0,0.75,1,0.6876151138616186,High Risk
C106972,131,4,182418.9555,45604.738875,11.0,4.0,0.0,0.75,1,0.6295378504926501,High Risk
C100549,105,4,180320.6115,45080.152875,12.0,4.0,1.0,0.5,1,0.6691295613166263,High Risk
C110847,74,3,161071.289,53690.42966666666,12.0,1.0,2.0,0.3333333333333333,0,0.6672008753079336,High Risk
C104143,214,3,160721.7,53573.9,8.0,4.0,1.0,0.0,1,0.6991318331659176,High Risk
C109436,186,3,156120.976,52040.32533333334,11.0,4.0,0.0,0.6666666666666666,1,0.6217374318565128,High Risk
C112886,570,2,154917.062,77458.53099999999,12.0,3.0,0.0,0.5,1,0.6979314717239856,High Risk
C101762,282,3,145495.70299999998,48498.56766666666,8.0,4.0,0.0,0.3333333333333333,1,0.6044944592052558,High Risk
C101758,336,2,144192.72,72096.36,10.0,5.0,0.0,0.0,1,0.6395175308070049,High Risk
C110630,123,2,128124.1375,64062.06874999999,9.0,3.0,0.0,0.5,1,0.6739950963564624,High Risk
C105900,47,2,126518.7115,63259.35575,6.0,4.0,2.0,0.5,0,0.6849415770985785,High Risk
C113297,32,2,125610.00650000002,62805.00325000001,11.0,4.0,1.0,0.5,0,0.6464304039019759,High Risk
C106119,137,2,124067.80000000002,62033.90000000001,11.0,6.0,0.0,0.5,1,0.6423630747812895,High Risk
C104050,208,2,120835.76999999999,60417.884999999995,9.0,3.0,1.0,0.0,1,0.6805068180312461,High Risk
C103233,319,2,120318.59,60159.295,14.0,3.0,0.0,0.0,1,0.672537531080115,High Risk
C111159,193,2,119805.425,59902.712499999994,8.0,3.0,1.0,0.5,1,0.690847361622722,High Risk
C103789,303,2,117190.014,58595.007,7.0,2.0,0.0,0.5,1,0.6719349542244809,High Risk
C104600,543,3,116566.09199999999,38855.363999999994,8.0,7.0,2.0,0.3333333333333333,1,0.6751168036469285,High Risk
C103709,102,2,116084.317,58042.1585,9.0,1.0,0.0,0.5,1,0.673687949887863,High Risk
C113310,299,1,110273.36,110273.36,5.0,0.0,0.0,0.0,1,0.7080979728308253,High Risk
C113535,199,2,109797.388,54898.694,11.0,2.0,2.0,0.5,1,0.7363762460760707,High Risk
C105940,169,2,108283.1485,54141.574250000005,9.0,3.0,0.0,0.5,1,0.6847042884548563,High Risk
C102199,127,2,107390.23400000001,53695.117,11.0,1.0,1.0,0.5,1,0.6781910897292737,High Risk
C112676,422,2,106653.2,53326.6,12.0,5.0,0.0,0.0,1,0.6500014568231702,High Risk
C102089,311,2,106052.29999999999,53026.149999999994,8.0,0.0,2.0,0.0,1,0.7091017248250384,High Risk
C112802,99,2,105605.4455,52802.72275,5.0,4.0,0.0,0.5,1,0.6664005914852502,High Risk
C105860,88,2,105211.967,52605.9835,12.0,3.0,0.0,0.5,0,0.6115148999946561,High Risk
C111155,385,2,104549.698,52274.849,7.0,3.0,0.0,1.0,1,0.6035352547996778,High Risk
C103084,899,2,103673.094,51836.547,8.0,1.0,0.0,0.5,1,0.6724403166534373,High Risk
C106941,368,2,103597.22,51798.61,6.0,1.0,2.0,0.0,1,0.7264842183895144,High Risk
C110884,259,2,103100.794,51550.397,9.0,2.0,0.0,0.5,1,0.6767304377029375,High Risk
C100310,487,1,102832.07999999999,102832.07999999999,8.0,3.0,1.0,0.0,1,0.7026055042087294,High Risk
C105280,529,2,102040.38,51020.19,10.0,2.0,1.0,0.0,1,0.6532985208717207,High Risk
C108574,374,2,101747.4,50873.7,8.0,3.0,0.0,0.0,1,0.6697810156082667,High Risk
C111108,25,2,101266.64,50633.32000000001,9.0,4.0,0.0,0.5,0,0.6827576040389668,High Risk
C107991,310,2,100049.1545,50024.57725,13.0,4.0,0.0,0.5,1,0.642012647457205,High Risk
C106944,454,2,100001.45,50000.725,8.0,5.0,0.0,0.0,1,0.663088792041651,High Risk
C110959,169,1,98627.97600000001,98627.97600000001,11.0,6.0,1.0,1.0,1,0.7170492114301678,High Risk
C107846,700,1,97610.5,97610.5,6.0,3.0,0.0,0.0,1,0.7435255529878847,High Risk
C106363,173,2,97035.32999999999,48517.665,5.0,2.0,0.0,0.0,1,0.6444368563368544,High Risk
C113467,104,2,96236.55,48118.275,4.0,1.0,0.0,0.0,1,0.6482943366659673,High Risk
C100997,133,2,96216.5665,48108.28324999999,11.0,3.0,1.0,0.5,1,0.6512703078882089,High Risk
C111048,137,2,94960.66900000001,47480.334500000004,7.0,1.0,2.0,1.0,1,0.6647054250159897,High Risk
C109631,148,2,94693.0895,47346.54475,13.0,4.0,1.0,0.5,1,0.6277638093967378,High Risk
C105981,105,2,94681.63,47340.815,7.0,3.0,0.0,0.5,1,0.668695669459582,High Risk
C114899,619,2,93003.401,46501.7005,7.0,2.0,1.0,0.5,1,0.640378651046278,High Risk
C100952,440,2,92939.75,46469.875,6.0,2.0,0.0,0.5,1,0.6476953948438614,High Risk
C109237,112,2,92735.591,46367.7955,8.0,2.0,0.0,0.5,1,0.6512061298652343,High Risk
C109416,107,2,92712.982,46356.491,3.0,2.0,0.0,0.5,1,0.6227785491257596,High Risk
C111378,375,1,92499.18000000001,92499.18000000001,5.0,2.0,1.0,0.0,1,0.7502666104116045,High Risk
C102048,26,1,92460.5,92460.5,7.0,2.0,1.0,0.0,0,0.7374269538099228,High Risk
C107358,250,2,91550.742,45775.371,10.0,2.0,0.0,0.5,1,0.6508383854932889,High Risk
C103422,-1,2,91357.78,45678.89,7.0,1.0,1.0,0.0,0,0.6135333588080303,High Risk
C108540,302,2,91247.7505,45623.87525,7.0,1.0,0.0,1.0,1,0.6063479854154289,High Risk
C109784,92,2,90206.94,45103.47,5.0,2.0,0.0,0.0,1,0.6447228444770573,High Risk
C104995,819,1,90155.7,90155.7,7.0,2.0,0.0,0.0,1,0.7776673147245571,High Risk
C111225,646,1,89550.48000000001,89550.48000000001,4.0,1.0,0.0,0.0,1,0.8084880348047535,High Risk
C101463,125,2,89217.706,44608.853,6.0,3.0,0.0,0.5,1,0.6118312195766421,High Risk
C106890,379,2,88453.45,44226.725,5.0,4.0,1.0,0.0,1,0.6283772204584193,High Risk
C107855,695,1,87558.3,87558.3,11.0,2.0,0.0,0.0,1,0.7477646649373145,High Risk
C102804,61,1,87018.77,87018.77,8.0,4.0,1.0,0.0,0,0.6426173764512028,High Risk
C110315,263,2,86244.538,43122.269,9.0,5.0,0.0,0.5,1,0.6187852592079964,High Risk
C100716,142,1,85091.86,85091.86,9.0,4.0,1.0,0.0,1,0.7161666568065604,High Risk
C103928,226,1,84030.29299999999,84030.29299999999,13.0,9.0,1.0,1.0,1,0.7797167003986312,High Risk
C105628,190,2,83980.282,41990.141,9.0,3.0,0.0,0.5,1,0.6037931047958973,High Risk
C106706,114,3,83585.12599999999,27861.708666666662,24.0,9.0,0.0,0.6666666666666666,1,0.6156926311989284,High Risk
C107604,131,2,83509.854,41754.927,8.0,3.0,1.0,0.5,1,0.6051302022434916,High Risk
C112283,254,2,83395.466,41697.733,11.0,3.0,1.0,0.5,1,0.600356732055353,High Risk
C105388,178,2,82747.384,41373.692,7.0,3.0,0.0,0.5,1,0.6045685299445992,High Risk
C104078,673,2,82351.75,41175.875,7.0,5.0,0.0,0.0,1,0.6200487779869462,High Risk
C113386,73,1,80924.57999999999,80924.57999999999,12.0,2.0,0.0,0.0,0,0.7322798203061666,High Risk
C102619,285,1,80282.4,80282.4,9.0,1.0,1.0,0.0,1,0.7602731861077472,High Risk
C105250,171,1,80147.12049999999,80147.12049999999,7.0,2.0,0.0,1.0,1,0.6914775045784141,High Risk
C108929,174,1,79898.75,79898.75,3.0,1.0,0.0,0.0,1,0.79016794130176,High Risk
C106599,49,1,79763.67,79763.67,11.0,2.0,1.0,0.0,0,0.7687818013882122,High Risk
C113345,465,2,78963.48,39481.74,9.0,5.0,0.0,0.0,1,0.6237244310411809,High Risk
C103991,328,1,78891.85,78891.85,8.0,1.0,0.0,0.0,1,0.7780247880922846,High Risk
C111195,116,2,78824.746,39412.373,14.0,5.0,2.0,0.5,1,0.6610064396262828,High Risk
C103402,344,2,78112.008,39056.004,7.0,4.0,2.0,1.0,1,0.671988769912334,High Risk
C108223,145,2,78076.463,39038.2315,2.0,0.0,1.0,1.0,1,0.6103498882895642,High Risk
C108445,523,1,77845.42000000001,77845.42000000001,7.0,1.0,0.0,0.0,1,0.7820254643761549,High Risk
C101984,492,1,77844.26,77844.26,7.0,0.0,0.0,0.0,1,0.7360557138381103,High Risk
C105752,145,2,77206.3,38603.15,5.0,1.0,0.0,0.0,1,0.6180040829316422,High Risk
